活着为了讲述,9.0,[哥伦比亚]加西亚·马尔克斯/李静/南海出版公司/2016-4-1/55.00元
渴望风流,9.2,[美]欧文·斯通/刘绯、褚律元/长江文艺出版社/2017-1/58.00元
我心深处,9.1,[美]伍迪·艾伦、[瑞]史提格·比约克曼/周欣祺/雅众文化/新星出版社/2016-12/48.00
当呼吸化为空气,9.0,[美]保罗·卡拉尼什/何雨珈/猫头鹰文化·浙江文艺出版社/2016-12/48.00元
维特根斯坦传,9.1,[英]瑞·蒙克/王宇光/浙江大学出版社/2011-6/79.00元
史蒂夫·乔布斯传,8.7,[美]沃尔特·艾萨克森/管延圻、魏群、余倩、赵萌萌、汤崧/中信出版社/2011-10-24/68.00元
时光列车,8.5,[美]帕蒂·史密斯/非尔/理想国|广西师范大学出版社/2017-1/58.00
邓小平时代,8.9,傅高义/冯克利/生活·读书·新知三联书店/2013-1-18/88.00元
人类的群星闪耀时,8.7,[奥]斯蒂芬·茨威格/舒昌善/广西师范大学出版社/2004-8/18.00元
别闹了，费曼先生,8.9,费曼/吴程远/生活·读书·新知三联书店/1997-12/22.00
伍迪·艾伦谈话录,8.5,[美]埃里克·拉克斯/付裕、纪宇/河南大学出版社/2016-9/68.00
只是孩子,8.7,[美]帕蒂•史密斯/刘奕/广西师范大学出版社/2012-10/39.00元
阿拉伯的劳伦斯,9.1,[美]斯科特·安德森/陆大鹏/社会科学文献出版社/2014-9-1/72.00元
我的职业是小说家,8.4,[日]村上春树/施小炜/南海出版公司/2017-1-1/45.00元
鞋狗,8.5,[美]菲尔·奈特/毛大庆/北京联合出版公司/2016-9-1/89.90元
成为乔布斯,9.0,[美]布伦特·施兰德、[美]里克·特策利/陶亮/中信出版集团/2016-10/69.00元
天才的编辑,9.0,[美]A.司各特·伯格/彭伦/广西师范大学出版社/2015-6/69.80元
伊莎贝拉,8.7,[美]克斯汀·唐尼/陆大鹏/社会科学文献出版社·甲骨文/2016-5/86.00元
昨日的世界,9.2,[奥］斯蒂芬・茨威格/舒昌善、孙龙生、刘春华、戴奎生/广西师范大学出版社/2004-5/32.00元
奇特的一生,8.3,[苏]格拉宁/侯焕闳、唐其慈/海燕出版社/2001-3/13.00元
苏东坡传,8.5,林语堂/张振玉/陕西师范大学出版社/2006-5/24.80元
柏辽兹回忆录,9.7,[法]埃克托尔·柏辽兹/冷杉、佟心平/后浪丨北京联合出版公司/2017-1/78.00元
我的奋斗1,8.5,[挪威]卡尔·奥韦·克瑙斯高/林后/广西师范大学出版社·理想国/2016-1/68.00
硅谷钢铁侠,8.1,[美]阿什利·万斯/周恒星/中信出版集团/2016-4/68.00元
再度觉醒,9.0,[意]普里莫·莱维（PrimoLevi）/杨晨光/三辉图书/外语教学与研究出版社/2016-1/39.00元
腾讯传,8.0,吴晓波/浙江大学出版社/2017-1-1/58.00元
梵高传,8.7,[美]欧文·斯通/常涛/北京出版社/2001-2/25.00元
蛤蟆的油,8.4,[日]黑泽明/李正伦/南海出版公司/2006-11/25.00元
痛苦与狂喜: 向石而生,8.8,[美]欧文·斯通/张晓意、武建博/南京大学出版社/2016-1-1/49.50元
行动的勇气,9.9,[美]本·伯南克/蒋宗强/中信出版社/2016-5/78.00元
李鸿章传,8.8,梁启超/百花文艺出版社/2000-5/10.00元
亲爱的提奥,9.1,[荷]文森特·凡高/平野/南海出版公司/2010-8/36.00元
里尔克传,9.3,[英]唐纳德·普拉特/张兴文/浙江大学出版社·启真馆/2016-12-17/108.00
草疯长,9.2,[日]今村昌平/高培明/雅众文化/新星出版社/2016-10/42.80
毛姆传,8.3,[英]塞琳娜·黑斯廷斯/赵文伟/安徽文艺出版社/2015-1/48.00
发现的乐趣,8.7,R·P·费曼/湖南科学技术出版社/2005-10/19.00元
曾国藩（上中下）,8.6,唐浩明/人民文学出版社/2002-7/66.00元
沈从文的后半生,9.0,张新颖/广西师范大学出版社/2014-6-1/CNY59.00
梵高手稿,9.2,[荷]文森特•梵高、[美]H.安娜•苏/编/57°N艺术小组/北京联合出版公司/2015-12/88.00元
李光耀观天下,9.0,李光耀/北京大学出版社/2015-6/58.00元
入世哲学家,9.5,[美]杰里米·阿德尔曼/贾拥民/三辉图书/中信出版集团/2016-10/128.00元
柳如是别传（全三册）,9.0,陈寅恪/生活·读书·新知三联书店/2001-1/98.00元
旁观者,8.7,[美]彼得.德鲁克/廖月娟/机械工业出版社/2005-9/38.00元
冬日笔记,7.7,[美]保罗·奥斯特/btr/人民文学出版社/2016-6/35.00
曾国藩家书,8.7,曾国藩/陈书凯/蓝天/2006-4/35.00元
穷查理宝典,9.0,[美]彼得·考夫曼(编)/李继宏/上海人民出版社/2010-10-01/88.00
庇护二世闻见录,8.1,[意]皮科洛米尼/王宪生/浙江大学出版社·启真馆/2017-1/68.00
十年一觉电影梦,8.9,张靓蓓编著/人民文学出版社/2007-10/38.00元
建筑家安藤忠雄,8.7,[日]安藤忠雄/龙国英/中信出版社/2011-3-1/88.00
我是你的男人,8.1,西尔维·西蒙斯/陈震/湖南文艺出版社/2014-5/68.00元
世界因你不同,8.6,李开复、范海涛/中信出版社/2009-9/29.80元
蒋介石与现代中国,9.1,[美]陶涵/林添贵/中信出版社/2012-8-18/68.00元
梵高传,8.8,史蒂芬·奈菲、格雷高里·怀特·史密斯/沈语冰、宋倩、何卫华、匡骁/译林出版社/2015-11/128.00
陈寅恪的最后20年,8.7,陆键东/生活·读书·新知三联书店/1995-12/23.00
说吧，记忆,8.6,[美]弗拉基米尔·纳博科夫/王家湘/上海译文出版社/2009-4/28.00元
恺撒：巨人的一生,8.6,[英]阿德里安·戈兹沃西/陆大鹏/社会科学文献出版社·甲骨文/2016-7/89.00元
写作这回事,8.4,[美]斯蒂芬·金/张坤/上海译文出版社/2009.08/28.00
我坦言我曾历尽沧桑,8.3,[智利]巴勃罗·聂鲁达/林光/南海出版公司/2015-4/49.50元
像一块滚石,9.0,[美]鲍勃·迪伦/徐振锋、吴宏凯/江苏人民出版社/2006-1/25.00元
富兰克林自传,8.5,富兰克林/唐长孺/国际文化出版公司/2005年/28.8
艾伦·图灵传,8.3,[英]安德鲁·霍奇斯/孙天齐/湖南科学技术出版社/2012-3-31/59.00元
断头王后,8.3,[奥]斯蒂芬·茨威格/李芳/希望出版社/2009年09月/38.00
我不要你死于一事无成,8.1,[阿富汗]法齐娅·库菲/章忠建/中信出版社/2012-6/28.00元
阿尔贝·加缪,8.8,[美]罗伯特·泽拉塔斯基/王兴亮、贾晓光(校)/三辉图书/漓江出版社/2016-6/42.00元
杜尚访谈录,8.8,[法]皮埃尔·卡巴纳/王瑞芸/广西师范大学出版社/2001-9/26.80元
安迪·沃霍尔的哲学,8.1,[美]安迪·沃霍尔/卢慈颖/广西师范大学出版社/2011-7/45.00元
你干吗在乎别人怎么想？,8.6,（美）理查德·费曼/李沉简、徐杨/中国社会科学出版社/1999-06/18.00元
帕斯捷尔纳克传（上、下）,9.4,[俄罗斯]贝科夫/王嘎/人民文学出版社/2016-9/88.00元
莫里康内,8.2,[意]埃尼奥·莫里康内口述、[意]安东尼奥·蒙达/倪安宇/北京联合出版公司·后浪出版公司/2016-6/42.00元
曾国藩的正面与侧面,8.3,张宏杰/国际文化出版公司/2011-2/39.80元
佛陀,8.9,【英】凯伦·阿姆斯特朗著/贤祥/生活·读书·新知三联书店/2014-1/38.00
我的前半生,7.5,爱新觉罗·溥仪/群众出版社/2003-04-01/29.00
见证,9.1,[苏]肖斯塔科维奇口述、伏尔科夫记录并整理/叶琼芳/花城出版社/1998-1/23.00元
杜拉斯谈杜拉斯,8.4,[法]玛格丽特·杜拉斯/缪咏华/广西师范大学出版社/2016-11/36.00
毛泽东传,7.9,[美]罗斯·特里尔/胡为雄、郑玉臣/中国人民大学出版社/2006-1/55.00元
将心注入,8.4,[美]霍华德·舒尔茨、[美]多利·琼斯·扬/文敏/浙江人民出版社/2010-03/25.00
张国荣的时光,9.0,志摩千岁/上海书店出版社/2011-12/28.00元
荣格自传,8.5,[瑞士]荣格/刘国彬、杨德友/国际文化出版公司/2005-6/38.00元
思虑20世纪,9.1,[美]托尼·朱特、[美]蒂莫西·斯奈德/苏光恩/三辉图书/中信出版社/2016-1/68.00元
